,rank,name,industry,main market,2010 rank
505,506,Snow Brand,Milk Powder/Milk,"Hong Kong, Japan",166
506,507,Kagome,Sauce/Condiment,Japan,528
507,508,Tissot,Watch,Regional,727
508,509,JCB,Credit Card,Japan,510
509,510,Kimlan,Sauce/Condiment,"Hong Kong, Taiwan",538
510,511,Iriver,Personal portable music player,"China, Korea",494
511,512,Bull-Dog,Sauce/Condiment,Japan,660
512,513,Longines,Watch,Regional,546
513,514,Amoy,Sauce/Condiment,"China, Hong Kong",501
514,515,Krung Thai,Bank,Thailand,639
515,516,Fanta,Carbonated Soft Drink,Regional,448
516,517,Mixi,Social Networking Site,Japan,358
517,518,Zhonghua (Cigarette),Cigarette,China,481
518,519,Meiji (Milk Powder),Milk Powder,"Hong Kong, Japan",New entry
519,520,Volvic,Mineral Water,Regional,636
520,521,China Life,Insurance,China,520
521,522,ING,Insurance,"Hong Kong, Singapore",502
522,523,TRUE,Mobile Service Provider,Thailand,719
523,524,Videocon,Consumer Electronics,India,386
524,525,Gusto,Restaurant Chain,Japan,561
525,526,Xu Fu Ji,Sweets and Candy,China,506
526,527,Tide,Detergent,Regional,583
527,528,Manulife,Insurance,"China, Singapore",626
528,529,CSL,Mobile Service Provider,Hong Kong,457
529,530,IndoMie,Instant Noodles,Regional,903
530,531,Safeguard,Shower Gel/Soap,China,629
531,532,Holden,Car/Automobile,Australia,715
532,533,Aquafina,Mineral Water,"China, Hong Kong, India",661
533,534,Panadol,Over-the-counter Pharmaceuticals,Regional,361
534,535,Chilsung Cider,Mineral Water,Korea,578
535,536,Shilla,Hotel,Korea,544
536,537,Regal,Men’s Shoes,Japan,439
537,538,Mazda,Car/Automobile,Regional,590
538,539,Allen’s,Sweets and Candy,Australia,577
539,540,FETnet,Mobile Service Provider,Taiwan,469
540,541,S26,Milk Powder,"China, Southeast Asia",630
541,542,Fruit Tree,Fruit Juice,"Malaysia, Singapore",611
542,543,Paos,Detergent,"Taiwan, Thailand",595
543,544,York,Air Conditioner,"China, Malaysia",709
544,545,China Pacific Insurance,Insurance,China,835
545,546,Hermès,Luxury Fashion Retailer,Regional,433
